0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:38 +0900] "GET /kisland/cat42/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/jquery-1.12.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/jquery.magnific-popup.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/js/contact.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/masonry.pkgd.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/jquery.nice-select.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/owl.carousel.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/mail-script.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/jquery.ajaxchimp.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/jquery.form.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/jquery.validate.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/contact.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/gijgo.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/js/custom.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/nokdong.png HTTP/1.1" 200 403459
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/pohang.png HTTP/1.1" 200 1232912
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/busan.png HTTP/1.1" 200 1236594
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/boryung.png HTTP/1.1" 200 1650129
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/mokpo.png HTTP/1.1" 200 1569368
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/yeosu.png HTTP/1.1" 200 573744
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/incheon.png HTTP/1.1" 200 518959
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/tongyoung.png HTTP/1.1" 200 393515
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/wando.png HTTP/1.1" 200 1408151
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/resources/upload/materials/jeju.png HTTP/1.1" 200 919093
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:39 +0900] "GET /kisland/cat42/img/favicon.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:42 +0900] "GET /kisland/cat42/terminalmap?port_no=14 HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/travelready HTTP/1.1" 200 22153
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/css/owl.carousel.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/css/flaticon.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/css/animate.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/fontawesome/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/css/themify-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/resources/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/css/nice-select.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:59 +0900] "GET /kisland/cat4/css/gijgo.min.css HTTP/1.1" 404 721
